kp,ki,kd,mean_th_error
0.3,0.01,0.1,0.4666045652184614
0.3,0.01,0.2,0.4555010648810789
0.3,0.01,0.3,0.444942384086296
0.3,0.03,0.1,0.39225064914430535
0.3,0.03,0.2,0.3823499371434669
0.3,0.03,0.3,0.3729386091829916
0.3,0.05,0.1,0.3911373191936274
0.3,0.05,0.2,0.38062503585434393
0.3,0.05,0.3,0.37057567487275433
0.5,0.01,0.1,0.3247374772539623
0.5,0.01,0.2,0.31741238885630896
0.5,0.01,0.3,0.31043871306982435
0.5,0.03,0.1,0.3285180754396261
0.5,0.03,0.2,0.32009336439354313
0.5,0.03,0.3,0.3120396849301531
0.5,0.05,0.1,0.3509095448324384
0.5,0.05,0.2,0.3413273148078583
0.5,0.05,0.3,0.33218404879789176
0.8,0.01,0.1,0.25871816540604115
0.8,0.01,0.2,0.2523345575262668
0.8,0.01,0.3,0.2462456084671009
0.8,0.03,0.1,0.28116505734983066
0.8,0.03,0.2,0.2737825700935483
0.8,0.03,0.3,0.26671325499155146
0.8,0.05,0.1,0.30524087711729225
0.8,0.05,0.2,0.2970037035001853
0.8,0.05,0.3,0.28911969065656173
1.0,0.01,0.1,0.23334676146378291
1.0,0.01,0.2,0.22758339559402546
1.0,0.01,0.3,0.2220655357021366
1.0,0.03,0.1,0.2542555034261904
1.0,0.03,0.2,0.2477644145486255
1.0,0.03,0.3,0.24155580323135886
1.0,0.05,0.1,0.27423481621799445
1.0,0.05,0.2,0.26716648009070626
1.0,0.05,0.3,0.260400785396924
